model,noise_type,snr,accuracy,macro_f1,round
fusion_pred_mds,factory,0.5 dB,0.8777777777777778,0.8766865079365079,0
baseline,white,clean,0.9888888888888889,0.9888858016115588,1
baseline,white,10.0 dB,0.9555555555555556,0.9557346176407027,1
baseline,white,8.0 dB,0.9444444444444444,0.9442771830706711,1
baseline,white,5.0 dB,0.8777777777777778,0.878745426937695,1
baseline,white,0.5 dB,0.7,0.6737316820643517,1
baseline,pink,clean,0.9888888888888889,0.9888858016115588,1
baseline,pink,10.0 dB,0.9111111111111111,0.9115310517999005,1
baseline,pink,8.0 dB,0.9333333333333333,0.9336073152554741,1
baseline,pink,5.0 dB,0.8666666666666667,0.8668559182878295,1
baseline,pink,0.5 dB,0.6555555555555556,0.648148148148148,1
baseline,factory,clean,0.9888888888888889,0.9888858016115588,1
baseline,factory,10.0 dB,0.9444444444444444,0.9440495717149626,1
baseline,factory,8.0 dB,0.9222222222222223,0.921789642813002,1
baseline,factory,5.0 dB,0.8777777777777778,0.8771454297069051,1
baseline,factory,0.5 dB,0.8333333333333334,0.8318928788800974,1
fusion_pred_mds,white,clean,0.9666666666666667,0.9665831244778613,1
fusion_pred_mds,white,10.0 dB,0.9444444444444444,0.9445963185711682,1
fusion_pred_mds,white,8.0 dB,0.9555555555555556,0.9554887608657334,1
fusion_pred_mds,white,5.0 dB,0.8888888888888888,0.8895798002638026,1
fusion_pred_mds,white,0.5 dB,0.6888888888888889,0.6591047761940486,1
fusion_pred_mds,pink,clean,0.9666666666666667,0.9665831244778613,1
fusion_pred_mds,pink,10.0 dB,0.9111111111111111,0.9115310517999005,1
fusion_pred_mds,pink,8.0 dB,0.9444444444444444,0.9448900027847396,1
fusion_pred_mds,pink,5.0 dB,0.8666666666666667,0.8668559182878295,1
fusion_pred_mds,pink,0.5 dB,0.6666666666666666,0.6574768099709946,1
fusion_pred_mds,factory,clean,0.9666666666666667,0.9665831244778613,1
fusion_pred_mds,factory,10.0 dB,0.9444444444444444,0.9440495717149626,1
fusion_pred_mds,factory,8.0 dB,0.9555555555555556,0.9553100095558834,1
fusion_pred_mds,factory,5.0 dB,0.9111111111111111,0.9108132011357818,1
fusion_pred_mds,factory,0.5 dB,0.8444444444444444,0.8435897435897436,1
baseline,white,clean,0.9222222222222223,0.9216783216783216,2
baseline,white,10.0 dB,0.9,0.900191447033508,2
baseline,white,8.0 dB,0.8888888888888888,0.8868778280542986,2
baseline,white,5.0 dB,0.8555555555555555,0.8539275956284152,2
baseline,white,0.5 dB,0.8777777777777778,0.8772957607217897,2
baseline,pink,clean,0.9222222222222223,0.9216783216783216,2
baseline,pink,10.0 dB,0.8666666666666667,0.8666161424782114,2
baseline,pink,8.0 dB,0.8666666666666667,0.8643468737554759,2
baseline,pink,5.0 dB,0.8444444444444444,0.8421492891365077,2
baseline,pink,0.5 dB,0.7555555555555555,0.7544165962639632,2
baseline,factory,clean,0.9222222222222223,0.9216783216783216,2
baseline,factory,10.0 dB,0.9111111111111111,0.9092553671788645,2
baseline,factory,8.0 dB,0.8777777777777778,0.8739880191493095,2
baseline,factory,5.0 dB,0.8333333333333334,0.8308038708441123,2
baseline,factory,0.5 dB,0.8,0.795673076923077,2
fusion_pred_mds,white,clean,0.9222222222222223,0.9220272904483431,2
fusion_pred_mds,white,10.0 dB,0.9111111111111111,0.9115219996575928,2
fusion_pred_mds,white,8.0 dB,0.9,0.8986201070121093,2
fusion_pred_mds,white,5.0 dB,0.8444444444444444,0.8430479659987857,2
fusion_pred_mds,white,0.5 dB,0.8666666666666667,0.8666611004425148,2
fusion_pred_mds,pink,clean,0.9222222222222223,0.9220272904483431,2
fusion_pred_mds,pink,10.0 dB,0.8666666666666667,0.8666161424782114,2
fusion_pred_mds,pink,8.0 dB,0.8555555555555555,0.8524056993929179,2
fusion_pred_mds,pink,5.0 dB,0.8444444444444444,0.8421492891365077,2
fusion_pred_mds,pink,0.5 dB,0.7555555555555555,0.7544165962639632,2
fusion_pred_mds,factory,clean,0.9222222222222223,0.9220272904483431,2
fusion_pred_mds,factory,10.0 dB,0.9111111111111111,0.9092553671788645,2
fusion_pred_mds,factory,8.0 dB,0.8777777777777778,0.8739880191493095,2
fusion_pred_mds,factory,5.0 dB,0.8333333333333334,0.8308038708441123,2
